,Label,Similar,composition,space_group_symmetry
2115,4001241.csv,"['1514116.csv', '9016667.csv']","['K0.07 Mn0.5 O W0', 'Mn0.98 O2', 'Mn O2']","['I 4/m', 'I 4/m', 'I 4/m']"
2116,1533325.csv,,['Ca0.39 O3 Pb0.61 Ti'],['P 4 m m']
2117,1540466.csv,,['C38.5 H52 O10.5'],['P 31']
2118,2106837.csv,,['H20 O26 S4 Zr2'],['P -1']
2119,2221854.csv,,['Hg0.973 Mo6 S8'],['R -3 :H']
2120,1537160.csv,,['Ba0.8 Nb5 O8'],['P 4/m']
2121,2222393.csv,,['Co2.35 H7.2 O9.1 S'],['P -3 m 1']
2122,9002228.csv,"['9001345.csv', '9001343.csv', '1521038.csv', '1521036.csv', '9002218.csv', '1521037.csv', '9002225.csv']","['Ca4.7 H2 Mg0.02 Na0.1 O12.09 P2.76', nan, nan, nan, nan, 'Ca4.73 H2 Mg0.05 Na0.1 O11.99 P2.79', nan, 'Ca4.76 H2 Mg0.05 Na0.1 O12.27 P2.85']","['P 63/m', 'P 63/m', 'P 63/m', 'P 63/m', 'P 63/m', 'P 63/m', 'P 63/m', 'P 63/m']"
2123,4000530.csv,['1521164.csv'],"['Fe0.66 O4 Sb0.66 Sn0.68', 'O2 Sn0.6 Ti0.4']","['P 42/m n m', 'P 42/m n m']"
2124,1510212.csv,,['Au La O3'],['P b c m']
2125,8104362.csv,,['O4 Pb0.5 Th0.5 V'],['I 41/a m d :2']
2126,9005886.csv,['9005885.csv'],"['Al O3 Sc', 'Al O3 Sc']","['P b n m', 'P b n m']"
2127,4113421.csv,,['Ga4.5 In5.5 S18'],['I 41/a c d :2']
2128,2013389.csv,,['La16 O17 S17.75 Ti5'],['I 4/m']
2129,4329229.csv,,['C70.71 H71 N6.71 O11.14 Pd2'],['P 1 21 1']
2130,1537009.csv,,['Bi2 O3'],['P n -3 m :2']
2131,9001572.csv,,['Fe16.2 Mg0.98 O27 Pb1.818'],['P 63/m m c']
2132,6000605.csv,,['Cu2 Nd4 O7'],['A 1 2/m 1']
2133,1535790.csv,,['Cd0.5 O7 Sr1.5 V2'],['P 41 21 2']
2134,4001002.csv,,['Bi0.75 O12 Rh4.92 Sc2.18'],['P 63/m']
2135,9008772.csv,"['1540048.csv', '1535983.csv']","['O Yb', 'O2 Ru', 'O Pb Yb3']","['F m -3 m', 'P a -3', 'P m -3 m']"
2136,4123966.csv,,['La O3 Pd'],['P b n m']
2137,9016431.csv,['1001505.csv'],"['Li0.875 Nb0.875 O3 Te0.125', 'Li1.75 Nb1.75 O6 Te0.25']","['R 3 c :H', 'R 3 c :H']"
2138,9007524.csv,,['Bi Cu Pb S3'],['P n m a']
2139,9007400.csv,,['Bi2 S3'],['P n m a']
2140,2107093.csv,,['H K0.55 O4 Rb0.45 S'],['P 1 21/c 1']
2141,9002584.csv,,['Ag2 As2.03 S6 Sb0.97 Tl'],['P m n b']
2142,9009104.csv,"['9002261.csv', '9002260.csv', '9002259.csv']","['Fe H2 O2', 'Fe H1.728 O2', 'Fe H1.726 O2', 'Fe H1.714 O2']","['P -3 m 1', 'P -3 m 1', 'P -3 m 1', 'P -3 m 1']"
2143,1528984.csv,"['2300544.csv', '9007485.csv', '2300296.csv', '1532265.csv', '9016714.csv']","['O2 Zr', 'O2 Zr', 'O2 Zr', 'O2 Zr', 'O2 V0.12 Zr0.88', 'O2 Zr']","['P 1 21/c 1', 'P 1 21/c 1', 'P 1 21/c 1', 'P 1 21/c 1', 'P 1 21/c 1', 'P 1 21/c 1']"
2144,1529954.csv,,['O Ti3'],['P -3 1 c']
2145,4103449.csv,,['C0.4 Be1.6 K3.2 N0.4 O12 Si6.4'],['P n m a']
2146,4336909.csv,"['1008788.csv', '1527957.csv', '1001354.csv', '4336922.csv']","['Cu3 Fe4 La O12', 'Cu3 Fe Nd O12 Ti3', 'Cu1.5 O6 Ta Ti', 'Cu2.67 Li1.33 Nb1.33 O12 Ti2.67', 'Cu3 Fe4 La O12']","['I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3']"
2147,1011066.csv,,['O3 V2'],['R -3 c :R']
2148,9008249.csv,,['Fe2 O12 S3'],['P 1 21/n 1']
2149,2104773.csv,,['Bi2 Ga4 O9'],['P b n m']
2150,1539952.csv,"['9007804.csv', '1000280.csv']","['La2 O2 S2', 'La O S', 'La2 O2 S2']","['P c a m', 'C m c a', 'C m c a']"
2151,4123444.csv,,['C172.5 H115.5 O38 Zn8'],['P -3 1 c']
2152,4002088.csv,"['1531648.csv', '1522348.csv']","['Eu2 Mo3 O12', 'Gd2 Mo3 O12', 'Gd1.954 Mo3 Nd0.046 O12']","['P b a 2', 'P b a 2', 'P -4 21 m']"
2153,9008964.csv,,['Pd S'],['P 42/m']
2154,1525608.csv,,['Bi2 Ni3 S2'],['C 1 2/m 1']
2155,1532759.csv,['1524093.csv'],"['Mg0.3 Nb0.6 O3 Pb Ti0.1', 'Mg0.0278 Nb0.0556 O3 Pb0.9996']","['P m -3 m', 'P m -3 m']"
2156,9014682.csv,"['9009870.csv', '9000051.csv', '9000054.csv']","['Bi O4 V', 'Bi O4 V', 'Bi O4 V', 'Bi O4 V']","['P n c a', 'P n c a', 'P n c a', 'P n c a']"
2157,9015524.csv,"['9004484.csv', '8103784.csv', '9000652.csv']","['O4 Pb S', 'O4 Pb S', 'Ba0.977 O4 Pb0.013 S Sr0.01', 'O4 Pb S']","['P b n m', nan, 'P n m a', 'P b n m']"
2158,1532773.csv,,['O Ti2'],['P -3 m 1']
2159,9008258.csv,,['Fe2 O12 S3'],['R -3 :H']
2160,1528340.csv,,['O4 U Y'],['C m m m']
2161,1531589.csv,,['Cu Ga O2'],['P 63/m m c']
2162,1509687.csv,,['Ag2 O11 V4'],['C 1 2/m 1']
2163,4343770.csv,,['Mn Nb12 O86'],['P 1 21/n 1']
2164,1537271.csv,"['9014361.csv', '1008513.csv']","['Cs0.132 O2 Ti', 'Cs0.53 O8 Ti4', 'Cs1.062 O16 Ti8']","['I 41/a :1', 'I 41/a :1', 'I 41/a :1']"
2165,1542232.csv,,['Mo O5 Pb2'],['C 1 2/m 1']
2166,4300426.csv,,['C14.38 H19.5 Ag2 B2.5 F8.63 N5.13 O'],['C 1 2/m 1']
2167,1537654.csv,,['Mo O3'],['P n m a']
2168,2002197.csv,,['Nd2 O7 Ti2'],['P 1 21 1']
2169,1001723.csv,['9014329.csv'],"['Ba0.4 H3.2 O7 Ta2', 'Ba0.4 O7 Ta2']","['F d -3 m :2', 'F d -3 m :2']"
2170,9008307.csv,,['O2 Ti0.67 Zr0.33'],['P b c n']
2171,2004052.csv,,['O8 S2 Sm2 Ta3'],['P b a m']
2172,7223472.csv,,['C12.56 H6 O7.125 Sc'],['C 1 2/c 1']
2173,4000780.csv,['4000781.csv'],"['Bi0.94 Mn7 O12', 'Bi0.95 Mn7 O12']","['I m -3', 'R 3 :R']"
2174,4301932.csv,,['Er4 La Mo36 O52'],['I -4']
2175,1542079.csv,,['Ge2.28 In1.72 S8'],['I -4 2 d']
2176,9000087.csv,,[nan],['C 1 2/m 1']
2177,4101530.csv,,['H5.64 K4.59 N1.41 S17 Sn5 Zn4'],['I -4 m 2']
2178,9004361.csv,,['Ba5.438 Cu13.092 Fe11.908 Pb0.562 S27'],['P m -3 m']
2179,9003581.csv,['9009502.csv'],"['Bi Cu S2', 'Bi Cu S2']","['P n m a', 'P n m a']"
2180,9009029.csv,,['O2 Po'],['F m -3 m']
2181,1546360.csv,,['Al0.005 B0.071 H0.033 Na0.043 O2 Si0.924'],['P 6/m m m']
2182,1001760.csv,,['Bi0.5 Cu Hg0.5 La0.5 O5 Sr1.5'],['P 4/m m m']
2183,2002697.csv,,['Cu O8 Tb W2'],['P -1']
2184,2002460.csv,['7118234.csv'],"['Ba0.98 Cu O2', 'Ba0.977778 Cu O2']","['I m -3 m', 'I m -3 m']"
2185,4514173.csv,,['C55.5 H71 O10.5 Rh2'],['P 1 21/n 1']
2186,1521124.csv,,['O2 V'],['P 1 2/m 1']
2187,2008874.csv,,['Co0.7 Fe0.3 Mo O4'],['C 1 2/m 1']
2188,1509498.csv,,['Ag O3 V'],['C 1 2/c 1']
2189,7123375.csv,,['Cu12 Ga24 S70 Sn8'],['I 41/a m d :2']
2190,1531749.csv,,['O4 Ta Yb'],['B 1 1 2/b']
2191,9000151.csv,,['Al3.37 H8 Mg2.31 O18 Si3.32'],['C 1 2/m 1']
2192,1531649.csv,,['O5 S2 Tb2 Ti2'],['I 4/m m m']
2193,1522303.csv,,['O3 Pr0.2 W'],['P 2 2 2']
2194,4304539.csv,,['C29.5 H52.25 Hg N2.75 O S4'],['P -1']
2195,2310464.csv,,['Fe2 O6 W'],['P b c n']
2196,1101144.csv,,['the _chemical_formula_sum data item value by changing it from'],['C 1 2/m 1']
2197,1524378.csv,['1529674.csv'],"['S8 Tl V5', 'S8 Tl0.83 V5']","['C 1 2 1', 'C 1 2/m 1']"
2198,1529844.csv,,['S3 Sn Tl4'],['P 4/n c c :2']
2199,1509663.csv,,['Ag2 La2 O10 Ti3'],['I 4/m m m']
2200,1537987.csv,,['Mo6 Pb S8'],['R -3 :H']
2201,4113289.csv,,['C19.98 H12.12 N4.46 Ni O4.46 S2'],['P -1']
2202,1521043.csv,"['1521042.csv', '1532044.csv']","['O3 Pb Ti0.5 Zr0.5', 'O3 Pb Ti0.6 Zr0.4', 'O3 Pb Ti0.485 Zr0.515']","['P 4 m m', 'P 4 m m', 'P 4 m m']"
2203,3500059.csv,,['O4 Pd S'],['I 1 2/m 1']
2204,7120934.csv,,['C31.5 H13.5 N1.5 O13 Zn4'],['R -3 :H']
2205,1531442.csv,,['Cu Dy2 O6 Ti'],['P 63 c m']
2206,4338325.csv,,['H0 N1.19 O4.74 Pb1.19'],['C 1 c 1']
2207,7204079.csv,,['C40.5 H26 Fe N11.5'],['P n n m']
2208,1514035.csv,,['Li0.33 Mn O2'],['C 1 2/m 1']
2209,2002364.csv,,['O9 V2 Zn4'],['P 1 21 1']
2210,9010957.csv,,['Al0.86 Cs0.08 Fe0.1 H Mg0.14 O10 Si3.9'],['C 1 2/m 1']
2211,4324292.csv,,['Nb2 O14 S3'],['P n a 21']
2212,9012334.csv,,['S20'],['P b c n']
2213,8104266.csv,,['Cu O9 S0.37 Se0.63'],['P -1']
2214,4503075.csv,,['C20.5 H25.5 N0.5 O3'],['P 1 21 1']
2215,1539975.csv,,['Cd O4 U'],['C m m m']
2216,4503203.csv,,['Ag4 Mo8 O32'],['P -1']
2217,1520921.csv,,['Eu S'],['F m 2 m']
2218,9009018.csv,,['H2 Ho'],['F m -3 m']
2219,2228225.csv,,['Ca4.175 Nd6.825 O24 Ru4'],['I 41']
2220,1520904.csv,,['Cu Ge0.76 O3 Si0.24'],['P b m m']
2221,9013441.csv,,['Bi Cu Pt S3'],['P 21 21 21']
2222,2017526.csv,,['H3 Nd O9 S2'],['P 1 21/c 1']
2223,1001512.csv,,['Fe1.175 Na0.875 O4 Sb0.3 Ti0.525'],['P n a m']
2224,2005895.csv,,['O14 Os3 Sn15'],['C 1 m 1']
2225,9012121.csv,,['Fe S4 Ti2'],['I 1 2/m 1']
2226,1541175.csv,,['Er3 S7 Sc2'],['C 1 2/m 1']
2227,1538238.csv,,['S V'],['P n m a']
2228,1524925.csv,,['Cr0.333 In O2 Ti0.667'],['C 1 2/m 1']
2229,1509898.csv,,['Ag4.67 Bi7.33 Pb0.5 S16 Sb1.5'],['C 1 2/m 1']
2230,4001063.csv,,['La O4 Ta'],['P b c a']
2231,1509672.csv,['1536647.csv'],"['Ag2 Mn S8 Sn3', 'In2.113 Mg0.83 S4']","['F d -3 m :2', 'F d -3 m :2']"
2232,1540863.csv,,['Al55.5 O384 Si136.5 Sr26.56'],['F d -3 m :2']
2233,2106827.csv,,['Co Mo2 S4'],['C 1 2/m 1']
2234,4030805.csv,['9004824.csv'],"['H8 Mn O10 V2', 'H8 Mn O10 V1.95']","['C 1 2/c 1', 'C 1 2/c 1']"
2235,1546383.csv,,['Fe2 O3'],[nan]
2236,7027698.csv,,['C47.59 H37.59 Cu N3.92 O8'],['C 1 2/c 1']
2237,9001044.csv,,['As0.94 Ba0.35 Fe2.295 O14 Ti2.41 V2.295'],['A 1 2/m 1']
2238,9016503.csv,"['9008288.csv', '8104300.csv']","['Cu62 S31', 'Cu31 S16', 'Cu31 S16']","['P 1 21/n 1', 'P 1 21/n 1', 'P 1 21/c 1']"
2239,4030399.csv,,['C16 H27 Br N2 O3'],['P 21 21 21']
2240,4511699.csv,['2241132.csv'],"['Cd O5 S', 'Cd H2 O5 S']","['P 1 21/n 1', 'P 1 21/c 1']"
2241,1551085.csv,['1551088.csv'],"['O9 Pu W2', 'O9 Pu W2']","['P 1 21/m 1', 'P 1 21/m 1']"
2242,1510192.csv,,['Au In O2'],['P 63/m m c']
2243,7222561.csv,,['Cu S2 Tb'],['P 1 21/c 1']
2244,4104762.csv,,['C38.25 H16 S0.5'],['P 1 21/n 1']
2245,9006581.csv,"['9006583.csv', '9006582.csv']","['Al O3 Sc', 'Al O3 Sc', 'Al O3 Sc']","['P b n m', 'P b n m', 'P b n m']"
2246,1000346.csv,,['Cu3 Fe4 O24 V6'],['P -1']
2247,9011665.csv,"['1011195.csv', '9008878.csv']","['S Zn', 'S Zn', 'S Zn']","['P 63 m c', 'P 63 m c', 'P 63 m c']"
2248,1528838.csv,"['9008618.csv', '4002256.csv', '2311020.csv', '9006042.csv', '1541662.csv', '1533087.csv']","['Co O', 'Co O', 'Li0.275 Ni0.725 O', 'Fe0.942 O', 'Fe0.4 Mg0.6 O', 'Co O', 'Co O']","['C 1 2/m 1', 'F m -3 m', 'R 3 :H', 'R -3 m :R', 'F m -3 m', 'F m -3 m', 'F m -3 m']"
2249,9009112.csv,"['1011134.csv', '1548811.csv', '9011314.csv', '9016308.csv']","['H2 Ni O2', 'H2 Ni O2', 'H2 Ni O2', 'H2 Ni O2', 'Ni O2']","['P -3 m 1', 'P -3 m 1', 'P -3 m 1', 'P -3 m 1', 'P -3 m 1']"
2250,4002501.csv,,['Ca0.7 Co1.35 O9 Rh1.65 Sr3.3'],['P 3 2 1']
2251,7002640.csv,,['C54.5 H44.5 Mn3 N7.5 O9'],['P -1']
2252,4002534.csv,,['Cr Mo2 S4'],['C 1 c 1']
2253,1540725.csv,,['C7.75 H3 Co1.5 N3.25 O3.25'],['C 1 2/c 1']
2254,4126400.csv,,['C20.5 H24.2 N2.6 O6 Zn2'],['P 31 2 1']
2255,1521337.csv,,['La Mn O3'],['P n m a']
2256,1520809.csv,['1520808.csv'],"['La0.167 O12 P2.833 Pb0.333 Si0.167 Zr2', nan]","['R -3 :H', 'R -3 :H']"
2257,1537587.csv,,['Ni3 S2'],['F -4 3 m']
2258,1528654.csv,,['Al4 O32 W10'],['I 4/m m m']
2259,4124663.csv,['9009021.csv'],"['O Sm', 'H2 Lu']","['F m -3 m', 'F m -3 m']"
2260,2101049.csv,,['O8 W3'],['C 2 2 2']
2261,4341281.csv,,['Pb S5 U2'],['P 1 21/c 1']
2262,1534029.csv,['3500065.csv'],"['Cr O8 Pb5', 'Cr O8 Pb5']","['P 1 21/c 1', 'P 1 21/c 1']"
2263,4512968.csv,,['Cu Eu2 H4 O12 S2'],['P 1 21/c 1']
2264,9005768.csv,,['Al2.401 Mg0.398 O4'],['F d -3 m :1']
2265,1521777.csv,,['Bi3 Na2.9 O12 Sr3.1'],['P -6 2 m']
2266,1008536.csv,,['O9 V5'],['B -1']
2267,1545770.csv,['1545763.csv'],"['C9.19 H2 Co2 O7.19', 'C8.58 H2 Co2 O6.58']","['R -3 :H', 'R -3 :H']"
2268,1524780.csv,,['Al87.9936 O384 Si104.006 Tl45.76'],['F d -3 m :2']
2269,2200272.csv,,['H6 Nd O15 Re3'],['P 1 21/c 1']
2270,1532549.csv,,['Cu2.45 Gd1.74 Mo0.55 O8 Sr1.26'],['P 4/m m m']
2271,4127163.csv,,['C6.19 H5 Br0.81 O2'],['I 41/a :2']
2272,1528870.csv,,['Bi38 Mo7 O78'],['P b c n']
2273,1532323.csv,,['Ba1.89 In1.99 O5'],['I c m m']
2274,5910221.csv,,['O4 Sm V'],['I 41/a m d :2']
2275,2000701.csv,,['C30.5 H23.5 O S'],['P -1']
2276,9010919.csv,,['Bi2 Pb S4'],['P n a m']
2277,7221941.csv,['7221940.csv'],"[nan, nan]","['P n m a', 'P n m a']"
2278,1513989.csv,"['1513995.csv', '1513991.csv', '1514018.csv', '1513990.csv']","['Li0.971 Mn1.945 O4', 'Li1.406 Mn1.592 O4', 'Li0.982 Mn2.018 O4', 'Li1.09 Mn1.96 O4', 'Li0.981 Mn1.949 O4']","['F d -3 m :1', 'F d -3 m :1', 'F d -3 m :1', 'P 43 3 2', 'F d -3 m :1']"
2279,1529544.csv,,['Ca0.8667 La0.1333 Nb1.814 O6 Ti0.186'],['P c a n']
2280,4002915.csv,,['Bi4 Cd Pb2 S9'],['C 1 2/m 1']
2281,1524788.csv,,['Cs0.137778 O4 W1.11111'],['P 2 2 21']
2282,7219972.csv,,['C297.58 H466 Cu24 N35.6 O172.7'],['P -1']
2283,1529486.csv,,['Mn7 O15 Pb3'],['P 63/m c m']
2284,9007595.csv,,['O4 Sn W'],['P n n a']
2285,9016527.csv,['1004071.csv'],"['Bi2.295 O4 Sr0.706', 'Bi1.72 O3 Sr0.53']","['R -3 m :H', 'R -3 m :H']"
2286,7215867.csv,,['C13.5 H16 Cd0.25 N5.5 O3.5'],['P -1']
2287,1101175.csv,['1101197.csv'],"['C0.5 H2 O2.5 P0.5 V0.5', 'C0.5 H2 O2.5 P0.5 V0.5']","['C m c m', 'C m c m']"
2288,9005575.csv,['4308657.csv'],"['Ag3.01 As0.36 Hg0.99 O4 V0.68', 'Ag3 Hg O4 V']","['I -4', 'I -4']"
2289,7110533.csv,,['C55.5 H103 O50'],['C 1 2 1']
2290,4030733.csv,"['1534053.csv', '1521134.csv', '1531964.csv', '1526741.csv', '1521040.csv']","['Al0.5 Nd Ni0.5 O3', 'Ca0.75 La0.25 Mn O3', 'Ca0.81 O3 Sr0.19 V', 'Ca0.8 La0.2 Mn O3', 'Ca0.9 Fe O3 Sr0.1', 'Ca0.89 O3 Sr0.11 V']","['P b n m', 'P n m a', 'P n m a', 'P n m a', 'P n m a', 'P n m a']"
2291,1514119.csv,['1514107.csv'],"['Mn2 O3', 'Mn2 O3']","['I a -3', 'I a -3']"
2292,7051889.csv,,['C39.2 H34.4 O6.4 S6'],['P -1']
2293,7209349.csv,,['Ag Nb3 O8'],['I b a m']
2294,1530706.csv,,['Mo9 O26'],['C 1 2/c 1']
2295,5910158.csv,,['O4 W Zn'],['P 1 2/c 1']
2296,9005284.csv,,['Mn3 O6 Rb2.08'],['C 1 2/m 1']
2297,2002769.csv,['2002770.csv'],"['Al3 Eu O8 Pb2', 'Al3 Gd O8 Pb2']","['P n -3 m :2', 'P n -3 m :2']"
2298,9012113.csv,['1525528.csv'],"['Cr Cu S2', 'Cr Cu S2']","['R 3 m :H', 'R 3 m :H']"
2299,8103644.csv,,['H4 Hg3 O11 S2'],['C 1 2/c 1']
2300,4002428.csv,,['Bi O3 Ti0.5 Zn0.5'],['P 4 m m']
2301,4118493.csv,,['C41.59 H38.99 N1.9 O12.85 S4 Zn2'],['P 65']
2302,7204080.csv,,['C41.5 H30 Co N10.5 O'],['P n n m']
2303,8103760.csv,,['Cr H6 O9 U'],['P 1 21 1']
2304,1537836.csv,,['O3 Sm2'],['I a -3']
2305,2106723.csv,,['Co2 Mn3 O8'],['P m n 21']
2306,9005941.csv,['9005940.csv'],"['Mn S', 'Mn S']","['F m -3 m', 'F m -3 m']"
2307,2202803.csv,,['C7.5 H10.75 N1.25 O9 Zn'],['C 1 2/c 1']
2308,1526521.csv,,['Mo1.023 O8 W0.977 Zr'],['P a -3']
2309,2228226.csv,,['Cd0.273 H2 O10 V2 Zn3.727'],['P n m a']
2310,1544574.csv,"['4001671.csv', '4001779.csv', '1544573.csv', '1529140.csv']","['Al1.5 La9.8 O26 Si4.5', 'Ge0.77 La9.33 O26 Si5.23', 'La9.5 O26 Si5.87', 'Al0.5 La9.5 O26 Si5.5', 'Al1.14 La9.71 O26 Si4.86']","['P 63', 'P 63/m', 'P 63/m', 'P 63', 'P 63/m']"
2311,4329321.csv,"['4329324.csv', '4329322.csv', '1524100.csv']","['In O4 Ta', 'In0.91 Ni0.06 O4 Ta1.03', 'In0.94 Ni0.04 O4 Ta1.02', 'In Nb O4']","['P 1 2/c 1', 'P 1 2/c 1', 'P 1 2/c 1', 'P 1 2/a 1']"
2312,1521776.csv,,['Bi3 K1.75 O12 Sr3.75'],['P -6 2 m']
2313,2107207.csv,,['Ge0.5 Li3.5 O4 V0.5'],['P n m a']
2314,1531380.csv,['9002665.csv'],"['Al18 Fe3.85 H2 Mg3.22 O40 Ti Zn1.93', 'Al9 Fe2.89 H Mg1.61 O20 Ti0.5']","['P -3 m 1', 'P -3 m 1']"
2315,2020193.csv,,['Bi0.31 Ca5.64 Cu17 O29 Sr4.05'],['F 2 2 2']
2316,1542151.csv,,['Fe0.48 Mn0.16 O7 Ti2.88 Zn0.4'],['A 1 2/a 1']
2317,7039820.csv,,['Ga6 Pb5 S15 Zn'],['A m a 2']
2318,2106889.csv,,['O73 W25'],['P 1 2/c 1']
2319,1001779.csv,"['9014687.csv', '1001223.csv']","['H2 O7 Pb Ta2', 'O3 Pb0.6 Ta0.8 Ti0.2', 'O6 Pb1.2 Ta1.6 Ti0.4']","['F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2']"
2320,1533395.csv,,['La1.9 Mo2 O9 Y0.1'],['P 21 3']
2321,7218648.csv,,['Al0.1 Cs0.1 O Si0.4'],['I m -3 m']
2322,7205134.csv,"['7205132.csv', '7207061.csv', '7205135.csv', '7205131.csv']","['C52.35 H40 Cl0.65 Fe N0.35 O13 S32', 'C52.86 H39.86 Cl0.28 Fe N0.86 O13 S32', 'C52.35 H40 Cl0.65 Fe N0.35 O13 S32', 'C52.17 H40 Br0.83 Fe N0.17 O13 S32', 'C52.4 H40 F0.6 Fe N0.4 O13 S32']","['C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1']"
2323,1008756.csv,"['1008763.csv', '9015967.csv', '9015340.csv', '9014615.csv']","['Cr H O2', 'Cr H O2', 'Cr H2 O2', 'Cr H O2', 'Cr H2 O2']","['P 21 n m', 'P 21 n m', 'P n n m', 'P 21 n m', 'P n n m']"
2324,1525008.csv,['4031519.csv'],"['H10 O11 S2 Zn2', 'H4 O5 S Zn']","['P -1', 'P -1']"
2325,7220278.csv,,['C44.5 H56 Cl1.5 D0.5 O12'],['P -1']
2326,7227765.csv,,['O10 S Sm2'],['C 1 2/m 1']
2327,1512134.csv,,['Br6.06 Cl8.31 H92 O46'],['P m -3 n']
2328,4030480.csv,['1534578.csv'],"['O S2 Y2', 'Dy2 O S2']","['P 1 21/c 1', 'P 1 21/c 1']"
2329,1542208.csv,"['1537721.csv', '9009007.csv', '1541590.csv', '9009046.csv']","['Cu S2 Tl', 'O2 Th', 'Ce H2', 'O2 Th', 'O2 Th']","['I -4 2 d', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m']"
2330,9011567.csv,,['H'],['P 63/m m c']
2331,9016427.csv,,['Cr2 O3'],[nan]
2332,1522038.csv,,['Nd O4 Ta'],['P 1 21/c 1']
2333,7218711.csv,,['Co2 Eu2 H40 Mo10 O56'],['P -1']
2334,1539372.csv,,['Cu S4 Zr2'],['F d -3 m :1']
2335,1010999.csv,,['Al1.8 Ca1.5 Fe1.76 O12 Si2.94'],['I a -3 d']
2336,7101506.csv,['7101507.csv'],"['C125.96 H144 Mn0.64 N47.38 O66.58 Pd6', nan]","['C 1 2/c 1', 'C 1 2/c 1']"
2337,2104054.csv,,['Nd2 S5 Sn'],['P b a m']
2338,1540142.csv,,['Cr O3 V'],['R -3 c :H']
2339,1517481.csv,,['C4.77 H Fe O4.54'],['R -3 :H']
2340,1540280.csv,,['Mo2 O8 Zr'],['C 1 2/c 1']
2341,1528148.csv,"['1528147.csv', '1527373.csv']","['S8 Ti5.36', 'S16 Ti9.2', 'S12 Ti7.5']","['P -3 m 1', 'R 3 m :H', 'R -3 m :H']"
2342,1528744.csv,"['7202579.csv', '4344503.csv']","['O7 Ru2 Tl2', 'Hg2 O7 Ru2', 'Cd2 O7 Re2']","['F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2']"
2343,4120114.csv,,['Cd6 In28 S54'],['I 41/a m d :2']
2344,7042651.csv,,['Eu0.32 Mo29 O163 Tb3.68'],['P -1']
2345,1009011.csv,,['Bi2 K1.4 O7 Sr1.6'],['I 4/m m m']
2346,9009576.csv,,['Fe H9 O12 S2'],['P n m a']
2347,4069389.csv,,['C65.5 H67.5 Al2 O7 Sm'],['P 1 21/n 1']
2348,4332077.csv,,['K0.91 S6 U1.79'],['I m m m']
2349,9014203.csv,,['Cr2 O3'],[nan]
2350,1539826.csv,,[nan],['P 63']
2351,1528669.csv,"['1540126.csv', '2106064.csv']","['Li5.68 O100 Ta38.864', 'O5 Ta2', 'O5 Ta2']","['P 1 2/m 1', 'P m m 2', 'P 2 m m']"
2352,1539557.csv,,['Ga1.74 In2.92 S7'],['P -3 m 1']
2353,1522204.csv,,['O12 W3 Y2'],['P n c a']
2354,9013779.csv,['9016106.csv'],"['O0.59 Pb13.51 S36 Sb15.45', 'O0.18 Pb13.44 S36 Sb15.56']","['C 1 2/m 1', 'C 1 2/m 1']"
2355,7123213.csv,,['Bi2 O6 Sc2'],['P n m a']
2356,1533276.csv,"['1533858.csv', '1533856.csv']","['Cr Gd O3', 'Al0.3 Fe0.7 O3 Tb', 'Al0.2 Fe0.8 O3 Tb']","['P b n m', 'P b n m', 'P b n m']"
2357,9015512.csv,['1001273.csv'],"['Ba0.45 O9 W3', 'Ba0.15 O3 W']","['P b m m', 'P b m m']"
2358,5910059.csv,,['Ga H O2'],['P b n m']
2359,1011329.csv,,['O Pd'],['P 4/m']
2360,9008732.csv,,['O Ta'],['F m -3 m']
2361,7104514.csv,,['C271.5 H274.7 Cu11 Ga13 O123'],['C 1 2/m 1']
2362,1526309.csv,,['Bi Cd O5 V'],['P c 21 n']
2363,9012112.csv,,['Cr Cu S2'],['R 3 m :H']
2364,9001533.csv,['2101594.csv'],"['K2.28 Mg1.14 O8 Si2.86', 'K1.14 Mg0.57 O4 Si1.43']","['I 4 m m', 'I 4 m m']"
2365,1521190.csv,,['Al La O3'],['R -3 c :H']
2366,9015924.csv,"['7212242.csv', '9016057.csv', '1526990.csv', '4105685.csv', '1011194.csv', '9016105.csv', '9016326.csv', '9014580.csv']","['Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O']","['C 1 2/c 1', 'C 1 2/c 1', 'C 1 c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 c 1', 'C 1 2/c 1']"
2367,7123374.csv,,['Cu17 Ga22 S88 Sn17'],['R 3 :H']
2368,7015494.csv,,['Cl1.017 Cu La Nb2 O7'],['P b a m']
2369,9011571.csv,,['Fe4.93 H O8'],['P 63 m c']
2370,1001825.csv,['9015101.csv'],"['La2 O6 Pt Zn', 'La O3 Pt0.501 Zn0.501']","['P 1 21/n 1', 'P 1 21/n 1']"
2371,1531359.csv,,['H7 La Ni5'],['P 63 m c']
2372,1537121.csv,['1537118.csv'],"['K0.85 Li0.15 O3 Ta', 'K0.92 Li0.08 O3 Ta']","['P m -3 m', 'P m -3 m']"
